name,ID,STIX ID,description,collection layers,platforms,created,modified,type,version,url,contributors
Cloud Service,DS0025,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647,"Infrastructure, platforms, or software that are hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon AWS)(Citation: Azure Products)",Cloud Control Plane,"IaaS, Identity Provider, Office Suite, SaaS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0025,Center for Threat-Informed Defense (CTID)
Cloud Service: Cloud Service Disable,,x-mitre-data-component--ec0612c5-2644-4c50-bcac-82586974fedd,"This data component refers to monitoring actions that deactivate or stop a cloud service in a cloud control plane. Examples include disabling essential logging services like AWS CloudTrail (`StopLogging` API call), Microsoft Azure Monitor Logs, or Google Cloud's Operations Suite (formerly Stackdriver). Disabling such services can hinder visibility into adversary activities within the cloud environment. Examples: 

- AWS CloudTrail StopLogging: This action stops logging of API activity for a particular trail, effectively reducing the monitoring and visibility of AWS resources and activities.
- Microsoft Azure Monitor Logs: Disabling these logs hinders the organization’s ability to detect anomalous activities and trace malicious actions.
- Google Cloud Logging: Disabling cloud logging removes visibility into resource activity, preventing monitoring of service access or configuration changes.
- SaaS Applications: Stopping logging removes visibility into user activities, such as email access or file downloads, enabling undetected malicious behavior.

This data component can be collected through the following measures:

Enable and Monitor Cloud Service Logging

- Ensure logging is enabled for all cloud services, including administrative actions like StopLogging.
- Example: Use AWS Config to verify that CloudTrail is enabled and enforce logging as a compliance rule.

API Monitoring

- Use API monitoring tools to detect calls like StopLogging or equivalent service-stopping actions in other platforms.
- Example: Monitor AWS CloudWatch for specific API events such as StopLogging and flag unauthorized users.

SIEM Integration

- Collect logs and events from the cloud control plane into a centralized SIEM for real-time analysis and correlation.
- Example: Ingest AWS CloudTrail logs into Splunk or Azure Monitor logs into Sentinel.

Cloud Security Posture Management (CSPM) Tools

- Leverage CSPM tools like Prisma Cloud, Dome9, or AWS Security Hub to detect misconfigurations or suspicious activity, such as disabled logging.
- Example: Set alerts for changes to logging configurations in CSPM dashboards.

Configure Alerts in Cloud Platforms

- Create native alerts in cloud platforms to detect service stoppages.
- Example: Configure an AWS CloudWatch alarm to trigger when StopLogging is invoked.",,,20 October 2021,,datacomponent,1.1,,
Cloud Service: Cloud Service Enumeration,,x-mitre-data-component--8c826308-2760-492f-9e36-4f0f7e23bcac,"Cloud service enumeration involves listing or querying available cloud services in a cloud control plane. This activity is often performed to identify resources such as virtual machines, storage buckets, compute clusters, or other services within a cloud environment. Examples include API calls like `AWS ECS ListServices`, `Azure ListAllResources`, or `Google Cloud ListInstances`. Examples: 

AWS Cloud Service Enumeration: The adversary gathers details about existing ECS services to identify opportunities for privilege escalation or exfiltration.
- Azure Resource Enumeration: The adversary collects information about virtual machines, resource groups, and other Azure assets for reconnaissance purposes.
- Google Cloud Resource Enumeration: The attacker seeks to map the environment and find misconfigured or underutilized resources for exploitation.
- Office 365 Service Enumeration: The attacker may look for data repositories or collaboration tools to exfiltrate sensitive information.

This data component can be collected through the following measures: 

Enable Cloud Activity Logging

- Ensure cloud service logs are enabled for API calls and resource usage.
- Example: Enable AWS CloudTrail, Azure Monitor, or Google Cloud Logging to track resource queries.

Centralize Logs in a SIEM

- Aggregate logs from cloud control planes into a centralized SIEM (e.g., Splunk, Azure Sentinel).
- Example: Collect AWS CloudTrail logs and set up alerts for API calls related to service enumeration.

Use Native Cloud Security Tools

- Leverage cloud-native security solutions like AWS GuardDuty, Azure Defender, or Google Security Command Center.
- Example: Use GuardDuty to detect anomalous API activity, such as ListServices being executed by an unknown user.

Implement Network Flow Logging

- Monitor and analyze VPC flow logs to identify lateral movement or enumeration activity.
- Example: Inspect flow logs for unexpected traffic between compute instances and the cloud control plane.

API Access Monitoring

- Monitor API keys and tokens used for enumeration to identify misuse or compromise.
- Example: Use AWS Secrets Manager or Azure Key Vault to manage and rotate keys securely.",,,20 October 2021,,datacomponent,1.1,,
Cloud Service: Cloud Service Metadata,,x-mitre-data-component--b33d36e3-d7ea-4895-8eed-19a08a8f7c4f,"Cloud service metadata refers to the contextual and descriptive information about cloud services, including their name, type, purpose, configuration, and activity around them. This metadata is essential for understanding the roles and functions of cloud services, their operational status, and their potential misuse. Examples: 

- Azure Service Metadata: Metadata describing a resource in Azure, such as an Azure Storage Account or a Virtual Machine.
- AWS Cloud Service Metadata: Metadata for an AWS EC2 instance collected using the `DescribeInstances` API call.
- Google Cloud Service Metadata: Metadata for a Google Compute Engine instance collected using `gcloud compute instances describe`.
- Office 365 Metadata: Metadata about an Office 365 SharePoint site.

This data component can be collected through the following measures:

Enable Cloud Metadata APIs

- Leverage APIs provided by cloud providers to query metadata about services.
    - AWS: Use AWS CLI or SDKs for `DescribeInstances`, `DescribeBuckets`, etc.
    - Azure: Use `az resource list` or SDKs.
    - Google Cloud: Use `gcloud compute instances describe` or related commands.
    - Office 365: Use Microsoft Graph API.

Centralize Metadata in a Security Platform

- Aggregate metadata from multiple clouds into a SIEM or CSPM (Cloud Security Posture Management) tool.
- Example: Integrate AWS CloudTrail with Splunk or Azure Monitor with Sentinel.

Enable Continuous Monitoring

- Set up automated jobs or workflows to regularly query and update metadata.
- Example: Use AWS Config to track resource configurations and changes over time.

Configure Access and Logging

- Enable logging for API queries to ensure access and usage of metadata are monitored.
- Example: Use AWS CloudTrail to log API activity for metadata queries.

Use Cloud Security Tools

- Employ CSPM tools like Prisma Cloud, Wiz, or Dome9 to gather metadata and identify misconfigurations.
- Example: Prisma Cloud provides consolidated views of metadata for resources across AWS, Azure, and GCP.",,,20 October 2021,,datacomponent,1.1,,
Cloud Service: Cloud Service Modification,,x-mitre-data-component--e52d89f9-1710-4708-88a5-cbef77c4cd5e,"Cloud service modification refers to changes made to the configuration, settings, or data of a cloud service. These modifications can include administrative changes such as enabling or disabling features, altering permissions, or deleting critical components. Monitoring these changes is critical to detect potential misconfigurations or malicious activity. Examples: 

- AWS Cloud Service Modifications: A user disables AWS CloudTrail logging (StopLogging) or deletes a CloudWatch configuration rule (DeleteConfigRule).
- Azure Cloud Service Modifications: Changes to Azure Role-Based Access Control (RBAC) roles, such as adding a new Contributor role to a sensitive resource.
- Google Cloud Service Modifications: Deletion of a Google Cloud Storage bucket or disabling a Google Cloud Function.
- Office 365 Cloud Service Modifications: Altering mailbox permissions or disabling auditing in Microsoft 365.

This data component can be collected through the following measures:

Enable Cloud Audit Logging

- AWS: Enable AWS CloudTrail for logging management events such as StopLogging or DeleteTrail.
- Azure: Use Azure Activity Logs to monitor resource changes and access actions.
- Google Cloud: Enable Google Cloud Audit Logs to track API calls, resource modifications, and policy changes.
- Office 365: Use Unified Audit Logs in Microsoft Purview to track administrative actions.

Centralize Log Storage

- Consolidate logs from all cloud providers into a SIEM or CSPM (Cloud Security Posture Management) tool.
- Example: Use Splunk or Elastic Stack to ingest and analyze logs from AWS, Azure, and Google Cloud.

Automate Alerts for Sensitive Changes

- Configure alerts for high-risk actions, such as disabling logging or modifying IAM roles.
- AWS Example: Use AWS Config rules to detect and notify changes to critical services.
- Azure Example: Set up Azure Monitor alerts for write actions on sensitive resources.

Enable Continuous Monitoring

- Use tools like AWS Security Hub, Azure Defender, or Google Chronicle to continuously monitor cloud service modifications for anomalies.",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage,DS0010,x-mitre-data-source--2ce537a2-3b30-4374-9397-31d6460ec0bc,"Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)",Cloud Control Plane,IaaS,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0010,Center for Threat-Informed Defense (CTID)
Cloud Storage: Cloud Storage Access,,x-mitre-data-component--58ef998c-f3bf-4985-b487-b1005f5c05d1,"Cloud storage access refers to the retrieval or interaction with data stored in cloud infrastructure. This data component includes activities such as reading, downloading, or accessing files and objects within cloud storage systems. Common examples include API calls like GetObject in AWS S3, which retrieves objects from cloud buckets. Examples: 

- AWS S3 Access: An adversary uses the `GetObject` API to retrieve sensitive data from an AWS S3 bucket.
- Azure Blob Storage Access: A user accesses a blob in Azure Storage using `Get Blob` or `Get Blob Properties`.
- Google Cloud Storage Access: An adversary uses `storage.objects.get` to download objects from - OpenStack Swift Storage Access: A user retrieves an object from OpenStack Swift using the `GET` method.

This data component can be collected through the following measures:

Enable Logging for Cloud Storage Services

- AWS S3: Enable Server Access Logging to capture API calls like `GetObject` and store them in a designated S3 bucket.
- Azure Storage: Enable Azure Storage Logging to capture operations like `GetBlob` and log metadata.
- Google Cloud Storage: Enable Data Access audit logs for `storage.objects.get` API calls.
- OpenStack Swift: Configure middleware for object logging to capture GET requests.

Centralize and Aggregate Logs

- Use a centralized logging solution (e.g., Splunk, ELK, or a cloud-native SIEM) to ingest and analyze logs from different cloud providers.
    - AWS Example: Use AWS CloudTrail to collect API activity logs and forward them to your SIEM.
    - Azure Example: Use Azure Monitor and Log Analytics to analyze storage access logs.

Correlate with IAM Logs

- Combine storage access logs with IAM activity logs to correlate user actions with specific permissions and identities.",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage: Cloud Storage Creation,,x-mitre-data-component--59ec10d9-546b-4b8e-bccb-fa85f71e5055,"Cloud Storage Creation refers to the initial creation of a new cloud storage resource, such as buckets, containers, or directories, within a cloud environment. This action is critical to track as it might indicate the legitimate provisioning of resources or unauthorized actions taken by adversaries to stage, store, or exfiltrate data. Examples: 

- AWS S3 Bucket Creation: An AWS user creates a new S3 bucket using the `CreateBucket` API call.
- Azure Blob Storage Container Creation: A user creates a new container in Azure Blob Storage using the `Create Container` operation.
- Google Cloud Storage Bucket Creation: A Google Cloud user creates a new bucket using `storage.buckets.create`.
- OpenStack Swift Container Creation: A user creates a new container in OpenStack Swift using the `PUT` method.

This data component can be collected through the following measures:

Enable Logging for Cloud Storage Services

- AWS S3: Enable AWS CloudTrail to log CreateBucket API actions.
- Azure Blob Storage: Enable Azure Monitor and Diagnostic Logs for storage account activity. Use Azure Event Grid to capture Create Container operations.
- Google Cloud Storage: Enable Data Access logs in Cloud Audit Logs to monitor storage.buckets.create API calls.
- OpenStack Swift: Configure Swift logging to capture PUT requests to new containers.

Centralized Logging and Analysis

- Forward logs to centralized platforms like Splunk or cloud-native SIEM solutions for correlation and analysis.",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage: Cloud Storage Deletion,,x-mitre-data-component--4c41e296-b8d2-4a37-b789-eb565c87c00c,"Cloud Storage Deletion refers to the removal or destruction of cloud storage infrastructure, such as buckets, containers, or directories, within a cloud environment. Monitoring this activity is critical to detecting potential unauthorized or malicious actions, such as data destruction by adversaries or accidental deletions that may lead to data loss. Examples: 

- AWS S3 Bucket Deletion: An AWS user deletes an S3 bucket using the `DeleteBucket` API call.
- Azure Blob Storage Container Deletion: A user deletes a container in Azure Blob Storage using the `Delete Container` operation.
- Google Cloud Storage Bucket Deletion: A Google Cloud user deletes a bucket using the `storage.buckets.delete` API.
- OpenStack Swift Container Deletion: A user deletes a container in OpenStack Swift using the `DELETE` method.

This data component can be collected through the following measures:

Enable Logging for Cloud Storage Services

- AWS S3: Enable AWS CloudTrail to log DeleteBucket API actions.
- Azure Blob Storage: Enable Azure Monitor and Diagnostic Logs to capture Delete Container operations. Use Azure Event Grid to capture and trigger alerts for container deletion.
- Google Cloud Storage: Enable Data Access logs in Cloud Audit Logs to monitor storage.buckets.delete API calls.
- OpenStack Swift: Configure Swift logging to capture DELETE requests for containers.

Centralized Logging and Analysis

- Use platforms like Splunk or native SIEMs to forward and analyze logs for anomalies in cloud storage deletions.",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage: Cloud Storage Enumeration,,x-mitre-data-component--fcc4811f-9cc8-4db5-8097-4d8242a380de,"Cloud Storage Enumeration involves retrieving a list of available cloud storage infrastructure, such as buckets, containers, or objects, within a cloud environment. This activity may be performed for legitimate administrative purposes or malicious reconnaissance by adversaries seeking to identify accessible storage resources.Examples:

- AWS S3 Bucket Enumeration: An AWS user lists all buckets using the `ListBuckets` API call.
- Azure Blob Storage Container Enumeration: A user retrieves a list of all containers within a storage account using the Azure Storage SDK or API.
- Google Cloud Storage Bucket Enumeration: A Google Cloud user lists all buckets within a project using the `storage.buckets.list` API.
- OpenStack Swift Container Enumeration: A user retrieves a list of containers in OpenStack Swift using the `GET` method on the storage endpoint.

This data component can be collected through the following measures:

Enable Logging for Cloud Storage Enumeration

- AWS S3: Enable AWS CloudTrail to capture ListBuckets and ListObjects API calls.
- Azure Blob Storage: Enable Azure Monitor and Diagnostic Logs to capture enumeration operations like List Containers. Use Azure Event Grid to trigger alerts for container enumeration.
- Google Cloud Storage: Enable Audit Logs in Google Cloud to track storage.buckets.list API activity.
- OpenStack Swift: Configure Swift logging to capture GET requests for container enumeration.

Centralized Log Aggregation

- Use platforms like Splunk or native SIEM solutions to collect and analyze enumeration logs.
",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage: Cloud Storage Metadata,,x-mitre-data-component--e214eb6d-de8f-4154-9015-6d47915fbed1,"Cloud Storage Metadata provides contextual information about cloud storage infrastructure and its associated activity. This data may include attributes such as storage name, size, owner, permissions, creation date, region, and activity metadata. It is essential for monitoring, auditing, and identifying anomalies in cloud storage environments. Examples: 

- AWS S3 Bucket Metadata: Metadata about an S3 bucket includes the bucket name, region, creation date, owner, storage class, and permissions.
- Azure Blob Storage Metadata: Metadata for an Azure Blob container includes container name, access level (e.g., private or public), size, and tags.
- Google Cloud Storage Metadata: Metadata includes bucket name, storage class, location, labels, lifecycle policies, and versioning status.
- OpenStack Swift Metadata: Metadata for a Swift container includes name, access level, quota, and custom attributes.

This data component can be collected through the following measures:

Enable Logging for Metadata Collection

- AWS S3: Use AWS CloudTrail to log `GetBucketAcl`, `GetBucketPolicy`, and `HeadBucket` API calls.
- Azure Blob Storage: Use Azure Monitor to log container metadata retrieval and updates.
- Google Cloud Storage: Enable Google Cloud Audit Logs to capture `storage.buckets.get` and `storage.buckets.update`.
- OpenStack Swift: Enable logging of `HEAD` or `GET` requests to containers.

Centralized Log Aggregation

- Use a SIEM solution (e.g., Splunk) to aggregate and analyze metadata retrieval and modification logs.
- Correlate metadata access with user actions, IP addresses, and other contextual data.

API Polling

- Use cloud SDKs or APIs to periodically query metadata for analysis:
    - AWS CLI Example: `aws s3api get-bucket-acl --bucket company-sensitive-data`
    - Azure CLI Example: `az storage container show --name customer-records`
    - Google Cloud CLI Example: `gcloud storage buckets describe user-uploads`",,,20 October 2021,,datacomponent,1.1,,
Cloud Storage: Cloud Storage Modification,,x-mitre-data-component--45977f14-1bcc-4ec4-ac14-a30fd3a11f44,"Cloud Storage Modification involves tracking changes made to cloud storage infrastructure, including updates to settings, permissions, or stored data. Examples include modifying object access control lists (ACLs), uploading new objects, or updating bucket policies. Examples: 

AWS S3: An object is uploaded or its ACL is modified.
- Azure Blob Storage: A blob's metadata or permissions are updated.
- Google Cloud Storage: An object's lifecycle policy is updated, or a bucket policy is changed.
- OpenStack Swift: Modifications to container settings or uploading of new objects.

This data component can be collected through the following measures:

Enable Logging

- AWS S3: Enable AWS CloudTrail to log API events like PutObject, PutObjectAcl, and PutBucketPolicy.
- Azure Blob Storage: Use Azure Monitor to log write and update operations.
- Google Cloud Storage: Enable Google Cloud Audit Logs to track storage.objects.update and storage.buckets.update.
- OpenStack Swift: Enable logging for PUT and POST requests to track object uploads and container metadata updates.

Use Cloud Monitoring Tools

- Integrate with tools like AWS Config, Azure Security Center, or Google Cloud Monitoring to detect configuration drift or unauthorized changes.

Centralized Log Aggregation

- Use a SIEM (e.g., Splunk) to aggregate logs across multiple cloud providers for unified monitoring and analysis.

Periodic API Queries

- AWS CLI Example: Query recent modifications to bucket policies: `aws s3api get-bucket-policy --bucket sensitive-data`
- Azure CLI Example: List changes to a blob container: `az storage blob show --container-name private-docs`
- Google Cloud CLI Example: Check metadata updates: `gcloud storage objects describe gs://user-uploads/document.txt`",,,20 October 2021,,datacomponent,1.1,,
Command,DS0017,x-mitre-data-source--73691708-ffb5-4e29-906d-f485f6fa7089,"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task(Citation: Confluence Linux Command  Line)(Citation: Audit OSX)","Container, Host","Android, Containers, ESXi, Linux, Network Devices, Windows, iOS, macOS",20 October 2021,,datasource,1.2,https://attack.mitre.org/datasources/DS0017,"Austin Clark, @c2defense; Center for Threat-Informed Defense (CTID)"
